web-scraper-order,web-scraper-start-url,shipcard-img-src
"1600213483-471","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/d/d2/AbukumaKaiShipyardIcon.png/144px-AbukumaKaiShipyardIcon.png"
"1600213483-253","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/2/25/OoshioShipyardIcon.png/144px-OoshioShipyardIcon.png"
"1600213483-301","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/c/c4/Bunker_HillShipyardIcon.png/144px-Bunker_HillShipyardIcon.png"
"1600213483-319","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/5/54/I-168ShipyardIcon.png/144px-I-168ShipyardIcon.png"
"1600213483-189","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/d/d4/KarlsruheShipyardIcon.png/144px-KarlsruheShipyardIcon.png"
"1600213483-380","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/9/92/ValiantShipyardIcon.png/144px-ValiantShipyardIcon.png"
"1600213483-443","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/e/ef/AmazonKaiShipyardIcon.png/144px-AmazonKaiShipyardIcon.png"
"1600213483-152","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/2/2e/AobaShipyardIcon.png/144px-AobaShipyardIcon.png"
"1600213483-358","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/4/4f/IntrepidShipyardIcon.png/144px-IntrepidShipyardIcon.png"
"1600213483-111","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/6/6d/Prince_of_WalesShipyardIcon.png/144px-Prince_of_WalesShipyardIcon.png"
"1600213483-195","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/8/83/Admiral_Graf_SpeeShipyardIcon.png/144px-Admiral_Graf_SpeeShipyardIcon.png"
"1600213483-492","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/e/ea/MutsukiKaiShipyardIcon.png/144px-MutsukiKaiShipyardIcon.png"
"1600213483-229","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/7/7a/JenkinsShipyardIcon.png/144px-JenkinsShipyardIcon.png"
"1600213483-64","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/f/fa/WaspShipyardIcon.png/144px-WaspShipyardIcon.png"
"1600213483-264","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/a/a9/U-47ShipyardIcon.png/144px-U-47ShipyardIcon.png"
"1600213483-278","https://azurlane.koumakan.jp/List_of_Ships_by_Image","/w/images/thumb/a/a3/EssexShipyardIcon.png/144px-EssexShipyardIcon.png"
